transaction_id,transaction_date,product_name,brand,room_category,connectivity_type,energy_efficiency_rating,unit_price,quantity_sold,total_revenue,customer_rating,region,is_returned
TXN-00039,2025-09-27,Smart Speaker,Aqara,Living Room,Bluetooth,A++,10902.78,15,163541.7,2.5,Region III,TRUE
TXN-00040,2025-09-12,Smart Doorbell,Samsung,Security,Zigbee,B,5311.53,13,69049.89,1.6,Region IV-A,TRUE
TXN-00041,2025-04-27,Smart Doorbell,Samsung,Security,Wi-Fi,A+,10844.34,18,195198.12,1.7,Region IV-A,TRUE
TXN-00042,2025-12-07,Smart Door Lock,Philips,Security,Zigbee,A+,14094.33,16,225509.28,1.8,Visayas,TRUE
TXN-00043,2025-02-13,Smart Speaker,Xiaomi,Living Room,Wi-Fi,C,14411.75,11,158529.25,1.7,Region IV-A,FALSE
TXN-00044,2025-10-15,Smart Plug,Aqara,Living Room,Zigbee,A+,9284.23,17,157831.91,4.4,Region III,FALSE
TXN-00045,2025-10-11,Smart Speaker,LG,Living Room,Bluetooth,A,5441.65,3,16324.95,4.6,Visayas,FALSE
TXN-00046,2025-07-11,Smart Curtain Controller,Xiaomi,Bedroom,Zigbee,B,547.97,3,1643.91,3.6,Visayas,FALSE
TXN-00047,2025-06-11,Smart Camera,Aqara,Security,Wi-Fi,A+,12809.32,11,140902.52,3.8,Mindanao,FALSE
TXN-00048,2025-05-30,Smart Bathroom Scale,Aqara,Bathroom,Wi-Fi,A+,6231.79,19,118404.01,3.8,Region IV-A,TRUE
TXN-00049,2025-11-23,Smart Thermostat,Google,Bedroom,Z-Wave,B,9632.29,1,9632.29,3.3,Region III,FALSE
TXN-00050,2025-11-05,Smart Refrigerator,Samsung,Kitchen,Wi-Fi,B,5262.01,4,21048.04,4.8,Mindanao,FALSE
TXN-00051,2025-04-28,Smart Doorbell,TP-Link,Security,Wi-Fi,C,2663.6,7,18645.2,1.8,Visayas,FALSE
TXN-00052,2025-09-16,Smart Refrigerator,LG,Kitchen,Wi-Fi,A++,13495.85,11,148454.35,3.9,Region IV-A,FALSE
TXN-00053,2025-02-28,Smart Air Purifier,TP-Link,Bedroom,Wi-Fi,B,11439.88,3,34319.64,4.5,NCR,TRUE
TXN-00054,2025-04-27,Smart Doorbell,Amazon,Security,Zigbee,A,9298.16,17,158068.72,4.9,Mindanao,FALSE
TXN-00055,2025-07-31,Smart Refrigerator,Google,Kitchen,Wi-Fi,B,9366.15,10,93661.5,2.7,Mindanao,FALSE
TXN-00056,2025-04-06,Smart Refrigerator,TP-Link,Kitchen,Wi-Fi,A++,12385.04,6,74310.24,3.5,Region IV-A,TRUE
TXN-00057,2025-12-17,Smart Thermostat,Google,Bedroom,Z-Wave,A++,10884.76,10,108847.6,3.1,Region IV-A,TRUE
TXN-00058,2025-01-11,Smart Camera,TP-Link,Security,Wi-Fi,A++,14837.93,5,74189.65,1.1,Mindanao,FALSE
TXN-00059,2025-03-20,Smart Air Purifier,TP-Link,Bedroom,Matter,A+,1292.7,9,11634.3,4.7,Region IV-A,FALSE
TXN-00060,2025-12-07,Smart Camera,Philips,Security,Matter,B,13158.38,7,92108.66,2,Mindanao,FALSE
TXN-00061,2025-01-06,Smart Refrigerator,Philips,Kitchen,Wi-Fi,A++,2312.17,20,46243.4,4,Visayas,FALSE
TXN-00062,2025-09-09,Smart Door Lock,Google,Security,Matter,A+,14330.49,20,286609.8,4,Mindanao,FALSE
TXN-00063,2025-01-10,Smart Thermostat,Google,Bedroom,Z-Wave,A,9882.23,19,187762.37,1.6,Region III,FALSE
TXN-00064,2025-04-29,Smart Plug,Philips,Living Room,Wi-Fi,A++,4509.25,19,85675.75,3.7,Mindanao,FALSE
TXN-00065,2025-05-17,Smart Air Purifier,Samsung,Bedroom,Matter,A++,6593.05,13,85709.65,3.6,NCR,FALSE
TXN-00066,2025-12-12,Smart Bathroom Scale,LG,Bathroom,Bluetooth,A++,10324.02,6,61944.12,3.3,Visayas,TRUE
TXN-00067,2025-06-18,Smart Speaker,Aqara,Living Room,Wi-Fi,A+,5611.97,9,50507.73,4.9,Region IV-A,TRUE
TXN-00068,2025-12-16,Smart Bulb,TP-Link,Lighting,Matter,A++,8183.15,19,155479.85,2.8,Region III,FALSE
TXN-00069,2025-09-29,Smart Bulb,TP-Link,Lighting,Matter,A+,5031.03,20,100620.6,4.9,NCR,FALSE
TXN-00070,2025-09-16,Smart Speaker,Samsung,Living Room,Wi-Fi,A+,14993.59,6,89961.54,4.6,Visayas,TRUE
TXN-00071,2025-09-25,Smart Bulb,Aqara,Lighting,Zigbee,A++,6278.71,18,113016.78,2.8,Region IV-A,FALSE
TXN-00072,2025-10-02,Smart Oven,LG,Kitchen,Matter,C,8394.14,14,117517.96,3.4,NCR,TRUE
TXN-00073,2025-11-14,Smart Curtain Controller,Google,Bedroom,Matter,A,13018.85,12,156226.2,2.7,Visayas,FALSE
TXN-00074,2025-12-09,Smart Thermostat,Amazon,Bedroom,Wi-Fi,A+,11605.2,20,232104,4.2,Visayas,TRUE
TXN-00075,2025-07-26,Smart Speaker,Amazon,Living Room,Wi-Fi,B,2979.37,7,20855.59,2.2,Region III,TRUE
TXN-00076,2025-11-18,Smart TV,Aqara,Living Room,Wi-Fi,A+,5763.84,9,51874.56,1.4,Mindanao,FALSE
TXN-00077,2025-09-13,Smart Air Purifier,Philips,Bedroom,Wi-Fi,C,3850.83,19,73165.77,4.2,Region III,FALSE
TXN-00078,2025-02-24,Smart Curtain Controller,Amazon,Bedroom,Matter,B,571.07,6,3426.42,3.5,Region III,FALSE
TXN-00079,2025-05-09,Smart Air Purifier,Samsung,Bedroom,Matter,C,2011.26,14,28157.64,3.6,Visayas,FALSE
TXN-00080,2025-08-07,Smart Bathroom Scale,Samsung,Bathroom,Wi-Fi,B,13280.32,13,172644.16,3.5,Visayas,FALSE
TXN-00081,2025-06-28,Smart Curtain Controller,Xiaomi,Bedroom,Zigbee,A,12115.39,14,169615.46,3.1,NCR,FALSE
TXN-00082,2025-05-24,Smart Camera,Philips,Security,Matter,C,14019.99,14,196279.86,2,Region III,FALSE
TXN-00083,2025-02-16,Smart Bathroom Scale,LG,Bathroom,Wi-Fi,A++,12886,1,12886,3.8,Region III,FALSE
TXN-00084,2025-11-01,Smart Bulb,TP-Link,Lighting,Wi-Fi,A++,6490.24,13,84373.12,1.6,Region IV-A,FALSE
TXN-00085,2025-04-23,Smart Curtain Controller,Aqara,Bedroom,Zigbee,C,10268.5,12,123222,4,Mindanao,FALSE
TXN-00086,2025-06-23,Smart Air Purifier,Philips,Bedroom,Wi-Fi,A,9214.55,18,165861.9,1.1,NCR,FALSE
TXN-00087,2025-12-07,Smart Camera,Xiaomi,Security,Matter,A++,2673.69,17,45452.73,3.4,Mindanao,FALSE
TXN-00088,2025-09-28,Smart Door Lock,TP-Link,Security,Zigbee,A+,14150.96,14,198113.44,4.1,NCR,FALSE
TXN-00089,2025-11-25,Smart Oven,Aqara,Kitchen,Wi-Fi,A+,11372.57,19,216078.83,3.3,Mindanao,TRUE
TXN-00090,2025-10-12,Smart Bathroom Scale,Philips,Bathroom,Bluetooth,A,9987.37,14,139823.18,1.3,Region IV-A,FALSE
TXN-00091,2025-06-24,Smart Thermostat,Philips,Bedroom,Wi-Fi,A+,11795.43,9,106158.87,3,Visayas,FALSE
TXN-00092,2025-08-13,Smart Plug,Amazon,Living Room,Matter,A+,7957.85,4,31831.4,4.3,Mindanao,FALSE
TXN-00093,2025-04-01,Smart Door Lock,Google,Security,Matter,A+,13023.87,19,247453.53,4.2,NCR,FALSE
TXN-00094,2025-05-15,Smart Bulb,Google,Lighting,Zigbee,B,13797.59,5,68987.95,2.4,Region III,FALSE
TXN-00095,2025-04-23,Smart Bathroom Scale,Amazon,Bathroom,Wi-Fi,B,12957.94,10,129579.4,3.5,Mindanao,FALSE
TXN-00096,2025-12-22,Smart Door Lock,Amazon,Security,Z-Wave,C,1325.07,4,5300.28,1.3,NCR,FALSE
TXN-00097,2025-05-24,Smart Thermostat,Samsung,Bedroom,Z-Wave,B,2396.69,18,43140.42,3.4,Region III,TRUE
TXN-00098,2025-05-07,Smart Oven,Aqara,Kitchen,Matter,B,6656.7,12,79880.4,2.6,Mindanao,FALSE
TXN-00099,2025-04-25,Smart Bulb,Google,Lighting,Wi-Fi,C,8382.54,14,117355.56,2.3,NCR,TRUE
TXN-00100,2025-08-28,Smart Curtain Controller,Amazon,Bedroom,Matter,C,13731.21,4,54924.84,2.8,Region III,FALSE
TXN-00101,2025-08-27,Smart Curtain Controller,Aqara,Bedroom,Zigbee,A+,14018.01,3,42054.03,4.5,Region IV-A,FALSE
TXN-00102,2025-10-08,Smart Air Purifier,Xiaomi,Bedroom,Matter,A++,3639.58,12,43674.96,3.2,Visayas,TRUE
TXN-00103,2025-03-04,Smart Door Lock,LG,Security,Zigbee,C,4328.67,17,73587.39,4.9,Visayas,FALSE
TXN-00104,2025-09-06,Smart Plug,Aqara,Living Room,Zigbee,A+,9319,8,74552,1.4,Region IV-A,FALSE
TXN-00105,2025-03-01,Smart Bathroom Scale,Google,Bathroom,Wi-Fi,B,9813.63,2,19627.26,4.6,Region III,FALSE
TXN-00106,2025-06-25,Smart TV,Google,Living Room,Bluetooth,A,14984.43,7,104891.01,3.6,Visayas,FALSE
TXN-00107,2025-10-28,Smart Oven,Xiaomi,Kitchen,Matter,A+,7594.5,12,91134,5,Visayas,FALSE
TXN-00108,2025-07-04,Smart Speaker,Philips,Living Room,Wi-Fi,A,2608.34,18,46950.12,2.4,Region III,FALSE
TXN-00109,2025-10-14,Smart Thermostat,TP-Link,Bedroom,Wi-Fi,A,2906.12,13,37779.56,4.7,Mindanao,TRUE
TXN-00110,2025-04-03,Smart Camera,Aqara,Security,Wi-Fi,B,8717.22,19,165627.18,2.8,Region IV-A,FALSE
TXN-00111,2025-02-15,Smart TV,Amazon,Living Room,Bluetooth,A+,10826.77,13,140748.01,1.6,NCR,TRUE
TXN-00112,2025-09-02,Smart Thermostat,Xiaomi,Bedroom,Z-Wave,B,5293.04,12,63516.48,2,Visayas,FALSE
TXN-00113,2025-03-26,Smart Refrigerator,LG,Kitchen,Matter,A+,14172.11,4,56688.44,4.3,Visayas,TRUE
TXN-00114,2025-06-21,Smart Refrigerator,Xiaomi,Kitchen,Wi-Fi,A+,13064.8,9,117583.2,3,NCR,FALSE
TXN-00115,2025-01-14,Smart Plug,TP-Link,Living Room,Matter,A,6877.24,6,41263.44,2.6,NCR,FALSE
TXN-00116,2025-04-28,Smart Bathroom Scale,Aqara,Bathroom,Wi-Fi,A+,6683.12,5,33415.6,3.6,Mindanao,FALSE
TXN-00117,2025-11-01,Smart Door Lock,TP-Link,Security,Matter,A++,8604.73,20,172094.6,1.3,Region III,TRUE
TXN-00118,2025-12-08,Smart Thermostat,Aqara,Bedroom,Matter,C,11116.14,12,133393.68,1.9,NCR,FALSE
TXN-00119,2025-09-09,Smart Oven,Google,Kitchen,Matter,A+,10432.16,14,146050.24,2.7,Visayas,FALSE
TXN-00120,2025-05-15,Smart Bathroom Scale,Xiaomi,Bathroom,Bluetooth,A++,2920.25,16,46724,4,NCR,TRUE
TXN-00121,2025-12-26,Smart Door Lock,Xiaomi,Security,Zigbee,B,4525.28,15,67879.2,3.5,Visayas,FALSE
TXN-00122,2025-01-25,Smart Bathroom Scale,Samsung,Bathroom,Wi-Fi,A+,5343.21,8,42745.68,4.4,Region IV-A,TRUE
TXN-00123,2025-12-25,Smart Plug,Aqara,Living Room,Matter,A++,3512.09,18,63217.62,1.5,NCR,TRUE
TXN-00124,2025-10-25,Smart Refrigerator,TP-Link,Kitchen,Wi-Fi,A+,613.17,9,5518.53,2.1,Region III,TRUE
TXN-00125,2025-03-25,Smart TV,LG,Living Room,Bluetooth,A+,13010.26,15,195153.9,4.2,Region IV-A,FALSE
TXN-00126,2025-03-29,Smart Bulb,TP-Link,Lighting,Wi-Fi,B,2917.3,1,2917.3,5,Mindanao,FALSE
TXN-00127,2025-08-21,Smart Camera,Amazon,Security,Matter,C,12327.01,4,49308.04,4.7,Region III,TRUE
TXN-00128,2025-10-11,Smart TV,Amazon,Living Room,Bluetooth,A+,9056.65,3,27169.95,2.9,Visayas,FALSE
TXN-00129,2025-01-01,Smart Doorbell,LG,Security,Wi-Fi,B,5867.93,7,41075.51,4.2,Visayas,TRUE
TXN-00130,2025-03-06,Smart TV,Aqara,Living Room,Bluetooth,A,5462.55,2,10925.1,2.2,Mindanao,FALSE
TXN-00131,2025-09-01,Smart Thermostat,Samsung,Bedroom,Matter,A++,10005.35,17,170090.95,1.5,Visayas,FALSE
TXN-00132,2025-08-04,Smart Bulb,TP-Link,Lighting,Matter,B,3757.54,3,11272.62,1.3,Mindanao,FALSE
TXN-00133,2025-11-16,Smart Camera,Xiaomi,Security,Matter,C,7741.61,6,46449.66,3.3,Mindanao,FALSE
TXN-00134,2025-04-13,Smart Refrigerator,LG,Kitchen,Wi-Fi,A++,10906.46,19,207222.74,3,Visayas,FALSE
TXN-00135,2025-08-07,Smart Camera,Google,Security,Matter,C,6913.95,18,124451.1,4.8,Region III,FALSE
TXN-00136,2025-07-25,Smart Bathroom Scale,Aqara,Bathroom,Wi-Fi,B,833.27,18,14998.86,1.4,NCR,FALSE
TXN-00137,2025-07-08,Smart Door Lock,LG,Security,Matter,C,520.11,4,2080.44,2.4,NCR,FALSE
TXN-00138,2025-09-08,Smart Oven,Google,Kitchen,Wi-Fi,C,3544.91,7,24814.37,1.5,Mindanao,TRUE
TXN-00139,2025-08-22,Smart Air Purifier,Aqara,Bedroom,Wi-Fi,B,4167.68,2,8335.36,2.9,Region IV-A,FALSE
TXN-00140,2025-06-08,Smart Plug,LG,Living Room,Wi-Fi,B,11519.32,15,172789.8,4.7,Region III,TRUE
TXN-00141,2025-07-05,Smart Oven,Xiaomi,Kitchen,Matter,C,14935.76,18,268843.68,1.8,Region IV-A,FALSE
TXN-00142,2025-02-11,Smart Refrigerator,Aqara,Kitchen,Matter,A,9804.03,11,107844.33,4.1,Visayas,FALSE
TXN-00143,2025-01-01,Smart Bathroom Scale,Samsung,Bathroom,Wi-Fi,C,5016.48,16,80263.68,3.3,Mindanao,FALSE
TXN-00144,2025-02-09,Smart Air Purifier,Aqara,Bedroom,Wi-Fi,A,13418.91,11,147608.01,1.3,Region III,FALSE
TXN-00145,2025-01-21,Smart Refrigerator,Amazon,Kitchen,Wi-Fi,A+,6903.05,12,82836.6,2.4,NCR,TRUE
TXN-00146,2025-01-31,Smart Plug,Xiaomi,Living Room,Zigbee,A++,5932.64,20,118652.8,3.4,NCR,FALSE
TXN-00147,2025-01-13,Smart Oven,TP-Link,Kitchen,Wi-Fi,A++,5166.78,8,41334.24,2.8,Mindanao,FALSE
TXN-00148,2025-01-16,Smart Curtain Controller,Philips,Bedroom,Matter,A,8320.32,20,166406.4,4.4,NCR,FALSE
TXN-00149,2025-04-28,Smart Bulb,LG,Lighting,Matter,A,3883.96,10,38839.6,2.3,NCR,TRUE
TXN-00150,2025-06-01,Smart Thermostat,Aqara,Bedroom,Z-Wave,C,1875.9,18,33766.2,1.5,Mindanao,FALSE
TXN-00151,2025-01-12,Smart Door Lock,Aqara,Security,Zigbee,A,6352.14,3,19056.42,3,Region IV-A,TRUE
TXN-00152,2025-06-22,Smart Oven,Google,Kitchen,Wi-Fi,A+,8262.08,16,132193.28,3.9,Visayas,FALSE
TXN-00153,2025-07-14,Smart Curtain Controller,Xiaomi,Bedroom,Zigbee,A+,14191.27,6,85147.62,1.4,Region III,FALSE
TXN-00154,2025-11-15,Smart TV,Philips,Living Room,Wi-Fi,A++,9419.91,10,94199.1,2.9,NCR,TRUE
TXN-00155,2025-01-19,Smart Bulb,Samsung,Lighting,Wi-Fi,A++,14691.51,15,220372.65,2.5,Visayas,FALSE
TXN-00156,2025-11-19,Smart Doorbell,Google,Security,Zigbee,A+,2060.63,6,12363.78,2.5,NCR,FALSE
TXN-00157,2025-08-18,Smart Bulb,Aqara,Lighting,Wi-Fi,A+,5906.02,7,41342.14,3.8,Region III,FALSE
TXN-00158,2025-12-20,Smart Camera,Samsung,Security,Wi-Fi,C,6735.82,16,107773.12,2.2,Region III,TRUE
TXN-00159,2025-12-01,Smart Bathroom Scale,Amazon,Bathroom,Wi-Fi,A++,11479.58,13,149234.54,1.4,Mindanao,FALSE
TXN-00160,2025-09-10,Smart Curtain Controller,Philips,Bedroom,Zigbee,A,2542.56,1,2542.56,1.3,Region III,FALSE
TXN-00161,2025-09-13,Smart Bulb,Xiaomi,Lighting,Matter,B,9716.59,20,194331.8,2.9,Mindanao,TRUE
TXN-00162,2025-03-15,Smart Camera,Aqara,Security,Matter,B,6538.45,6,39230.7,3.6,Region III,FALSE
TXN-00163,2025-06-17,Smart Oven,Philips,Kitchen,Wi-Fi,C,796.15,3,2388.45,1.2,NCR,FALSE
TXN-00164,2025-04-30,Smart Plug,Amazon,Living Room,Zigbee,C,4526.76,3,13580.28,4.1,NCR,FALSE
TXN-00165,2025-06-22,Smart Refrigerator,Xiaomi,Kitchen,Wi-Fi,A+,1760.89,11,19369.79,3.2,Region IV-A,FALSE
TXN-00166,2025-08-31,Smart Curtain Controller,Aqara,Bedroom,Zigbee,A,10923.29,13,142002.77,1.4,NCR,FALSE
TXN-00167,2025-02-08,Smart Bathroom Scale,TP-Link,Bathroom,Wi-Fi,A++,781.14,4,3124.56,2.5,NCR,TRUE
TXN-00168,2025-01-06,Smart Camera,TP-Link,Security,Matter,A,7230.03,5,36150.15,2.8,Region III,TRUE
TXN-00169,2025-11-12,Smart Curtain Controller,Google,Bedroom,Matter,A++,13377.1,2,26754.2,2.6,Region III,FALSE
TXN-00170,2025-05-20,Smart Bathroom Scale,Philips,Bathroom,Bluetooth,B,4069.41,13,52902.33,3.8,NCR,FALSE
TXN-00171,2025-05-17,Smart Door Lock,Amazon,Security,Z-Wave,A++,14604.14,9,131437.26,1.1,Mindanao,TRUE
TXN-00172,2025-11-26,Smart Door Lock,Samsung,Security,Z-Wave,C,1350.3,20,27006,1.8,Region III,FALSE
TXN-00173,2025-07-25,Smart Plug,Google,Living Room,Zigbee,A,13803.47,6,82820.82,4.4,Region IV-A,FALSE
TXN-00174,2025-11-04,Smart Door Lock,Aqara,Security,Z-Wave,C,10024.06,9,90216.54,2.7,Region IV-A,FALSE
TXN-00175,2025-04-03,Smart Air Purifier,Xiaomi,Bedroom,Wi-Fi,A+,1407.76,1,1407.76,3.3,Mindanao,FALSE
TXN-00176,2025-08-13,Smart Oven,TP-Link,Kitchen,Wi-Fi,C,670.04,2,1340.08,2.3,Region IV-A,TRUE
TXN-00177,2025-11-26,Smart Oven,Amazon,Kitchen,Wi-Fi,A,13074.77,5,65373.85,4.2,NCR,FALSE
TXN-00178,2025-09-21,Smart Speaker,Xiaomi,Living Room,Bluetooth,B,4887.47,11,53762.17,2.9,NCR,TRUE
TXN-00179,2025-09-21,Smart Oven,TP-Link,Kitchen,Wi-Fi,A+,11438.1,3,34314.3,4.3,Region IV-A,FALSE
TXN-00180,2025-07-29,Smart Oven,Aqara,Kitchen,Wi-Fi,A+,3269.47,12,39233.64,4.5,Visayas,FALSE
TXN-00181,2025-03-31,Smart Bulb,TP-Link,Lighting,Wi-Fi,C,14318.09,17,243407.53,4.8,Region IV-A,FALSE
TXN-00182,2025-09-05,Smart Air Purifier,Google,Bedroom,Matter,A+,6492.74,12,77912.88,4.8,NCR,FALSE
TXN-00183,2025-07-09,Smart TV,Google,Living Room,Bluetooth,C,2912.19,20,58243.8,1.5,Region IV-A,TRUE
TXN-00184,2025-03-08,Smart Speaker,Amazon,Living Room,Bluetooth,A,14661.83,5,73309.15,1.9,Mindanao,TRUE
TXN-00185,2025-11-11,Smart Doorbell,Amazon,Security,Wi-Fi,A,3774.61,17,64168.37,2.8,Region IV-A,FALSE
TXN-00186,2025-04-14,Smart Speaker,Amazon,Living Room,Wi-Fi,B,9277.02,11,102047.22,4.7,NCR,TRUE
TXN-00187,2025-08-07,Smart Bulb,LG,Lighting,Zigbee,B,2043.9,14,28614.6,2.9,NCR,FALSE
TXN-00188,2025-11-08,Smart Oven,Xiaomi,Kitchen,Matter,C,5889.5,9,53005.5,4.4,Region III,FALSE
TXN-00189,2025-04-11,Smart Bathroom Scale,Samsung,Bathroom,Bluetooth,A++,3099.65,13,40295.45,2.1,Visayas,FALSE
TXN-00190,2025-02-22,Smart Bulb,Aqara,Lighting,Matter,A+,11359.58,2,22719.16,1.8,Visayas,FALSE
TXN-00191,2025-02-14,Smart Speaker,LG,Living Room,Wi-Fi,A++,647.93,5,3239.65,2,Region IV-A,TRUE
TXN-00192,2025-01-22,Smart Speaker,Samsung,Living Room,Bluetooth,A++,10995.5,8,87964,3.9,Visayas,FALSE
TXN-00193,2025-01-06,Smart Thermostat,TP-Link,Bedroom,Matter,A+,14082.88,6,84497.28,2.3,NCR,FALSE
TXN-00194,2025-12-26,Smart Refrigerator,Amazon,Kitchen,Wi-Fi,B,4370.86,15,65562.9,4.9,Visayas,FALSE
TXN-00195,2025-08-26,Smart Bathroom Scale,Google,Bathroom,Bluetooth,B,13329,20,266580,4.6,Region IV-A,TRUE
TXN-00196,2025-06-21,Smart Camera,Philips,Security,Wi-Fi,C,12686.21,14,177606.94,3.2,NCR,FALSE
TXN-00197,2025-11-25,Smart Air Purifier,Google,Bedroom,Matter,A,8566.26,3,25698.78,3.4,Region IV-A,FALSE
TXN-00198,2025-01-18,Smart Door Lock,TP-Link,Security,Z-Wave,B,14424.15,4,57696.6,4.3,Region III,TRUE
TXN-00199,2025-01-04,Smart TV,Philips,Living Room,Bluetooth,A+,10756.71,14,150593.94,1.3,Mindanao,FALSE
TXN-00200,2025-01-05,Smart Door Lock,Philips,Security,Zigbee,A,3860.74,2,7721.48,2.1,Visayas,FALSE
TXN-00201,2025-07-13,Smart Doorbell,TP-Link,Security,Zigbee,B,7306.84,4,29227.36,4.6,NCR,FALSE
TXN-00202,2025-07-29,Smart Curtain Controller,Samsung,Bedroom,Zigbee,B,4218.24,18,75928.32,3.2,Region IV-A,FALSE
TXN-00203,2025-07-10,Smart Oven,Amazon,Kitchen,Wi-Fi,B,14159.49,15,212392.35,2,NCR,TRUE
TXN-00204,2025-06-28,Smart Thermostat,TP-Link,Bedroom,Z-Wave,A+,9636.29,1,9636.29,1.1,Mindanao,FALSE
TXN-00205,2025-11-04,Smart Curtain Controller,Samsung,Bedroom,Zigbee,C,5955.52,2,11911.04,4.8,Mindanao,TRUE
